Page ID,Page name,Disclaimer,Amount spent (USD)
123136170783655,American Action Fund,American Action Fund,5214
102568576103681,TPUSA Events,Turning Point USA,3590
105036525934184,Honor Wyoming,"Honor Wyoming, Inc.",3550
196642922296,Petroleum Association of Wyoming,PETROLEUM ASSOCIATION OF WYOMING,3145
173127679564624,Americans for Prosperity - Wyoming,AMERICANS FOR PROSPERITY,2980
108774614054683,American Edge Project,American Edge,2031
40217893542,AIPAC,American Israel Public Affairs Committee,1896
12301006942,Democrats,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,1792
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,1678
100671532620063,Megan Degenfelder for WY State Superintendent of Public Instruction,Degenfelder for Wyoming,1678
104361878221567,Josh Weil - Florida Progressive Democrat,JOSH WEIL FOR CONGRESS,1656
100520488042829,Main Street Financial,Main Street Financial,1636
105355541639242,Modern Market,Modern Market,1542
105036525934184,Honor Wyoming,Honor Wyoming Foundation,1475
114646533630729,yes. every kid.,"yes. every kid, Inc.",1412
110867808765700,Gay For Congress,GAY VALIMONT FOR CONGRESS,1310
266288815238,WyGO / Wyoming Gun Owners,Wyoming Gun Owners,1289
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1218
127225910653607,PragerU,PragerU,1199
130348006817891,Wyoming Innovation Partnership,Wyoming Innovation Partnership,1161
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,1152
103450222618100,Rep. Harriet Hageman,Office of Rep. Harriet Hageman,1147
385473284886474,Hillsdale College,Hillsdale College,1130
297250000141840,Freedom Asset Advocates,Freedom Asset Advocates,1077
21090771700,Gun Owners of America,Gun Owners of America,1063
19437978960,Chris Murphy,FRIENDS OF CHRIS MURPHY,981
179590995428478,Bank of America,BANK OF AMERICA CORPORATION,954
1677111425839949,American Promise,"AMERICAN PROMISE, INC.",953
107661474402498,United Patriot,United Patriot,943
113284395073415,Your American Home,Your American Home,919
362091390331060,Trusted Local,Trusted Local Care Association,898
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,803
109645163862149,Wyoming Family Alliance,WYOMING FAMILY ALLIANCE,780
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,706
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières USA,701
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,686
200650357207240,I Love My Freedom,I Love My Freedom,663
92925746942,Judicial Watch,Judicial Watch,649
443329669123990,USAFacts,USAFacts Institute,595
194477430420674,Alternative Health Remedies,Alternative Health Remedies,582
57259033959,AARP,AARP,549
124955570892789,Bernie Sanders,Friends of Bernie Sanders,538
18982436812,ACLU,American Civil Liberties Union,530
1465701377009820,Maga.com,Maga.com,526
107483817554072,WorkMoney,WorkMoney,522
185598477964754,Patriotic Savants,Patriotic Savants,449
20787991568,Senate Democrats,DSCC,446
100494606092644,End The Wokeness,End The Wokeness,425
103910725985046,Forward Blue,Forward Blue,420
167586229923327,World Food Program USA,World Food Program USA,419
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",411
533008969890347,Maga Offers,NUMEERA INC,390
1338822066131069,Women's March,Women's March,382
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",367
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,359
104268781306125,Powering Up Wyoming,Powering Up Wyoming,357
15771560300,Earthjustice,EARTHJUSTICE,348
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,347
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,347
8501031021,VoteVets,VOTEVETS,334
121794934360343,Eugene Vindman for Congress,Vindman for Congress,333
161517677035264,Facts For Peace,Facts for Peace LLC,315
210598158304,Tucker Carlson,"Last Country, Inc.",314
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,312
115172918146348,PatriotAddict.com,PatriotAddict.com,309
457661727438993,USA Veteran Benefits,USA Veteran Benefits,305
192771954102960,Jordan Sekulow,American Center for Law and Justice,293
140357056032320,NEA Today,National Education Association,292
15041226930,Oxfam,"Oxfam America, Inc.",289
348592111669859,What's Up With Hate,"Foundation to Combat Anti-Semitism, Inc.",282
268459716349782,Jackalope Wind,"NEXTERA ENERGY RESOURCES, LLC",277
5435784683,Greenpeace USA,"GREENPEACE, INC.",267
111824001908,Hakeem Jeffries,JEFFRIES FOR CONGRESS,265
331673730025709,Susan Crawford for Wisconsin,SUSAN CRAWFORD FOR WISCONSIN,265
111991381624051,Constitution Cashouts,Constitution Cashouts HQ,264
108108679019373,Manny Rutinel for Colorado,MANNY RUTINEL FOR CONGRESS,248
108186838866708,dub Invest,DASTA Incorporated,248
171798182676224,Know2Protect,Know2Protect,239
103496691094956,Freespoke,"FREEDOM FRIES, LLC",238
103320429171038,American Emergency Relief,American Emergency Relief Group,238
304600892905134,Hillsdale College Online Courses,Hillsdale College,238
415275128346947,Assistance Finder USA,RFY News Group,237
363263610497489,Jeanette Ward for Wyoming,Jeanette Ward for Wyoming,231
113318901345595,Proud Patriots,Proud Patriots,230
381174495077894,Disclosed Advisors,DASTA Incorporated,227
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,222
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",219
107541160750727,American Money Talk,American Money Talk,207
23790541544,Democrats,DCCC,207
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,206
194798557218627,AARP Wyoming,AARP,204
49651563727,Live Action,Live Action,199
142161905817424,AMAC - The Association of Mature American Citizens,ASSOCIATION OF MATURE AMERICAN CITZENS INC,199
108452860659279,The Liberty Star,The Liberty Star,198
