Location name,Amount spent (USD)
Alabama,566723
Alaska,191469
American Samoa,≤100
Arizona,1178152
Arkansas,322946
California,4730319
Colorado,997664
Connecticut,644416
Delaware,171846
Florida,3098004
Georgia,1680066
Guam,208
Hawaii,238118
Idaho,257574
Illinois,1974533
Indiana,892428
Iowa,462671
Kansas,327453
Kentucky,580042
Louisiana,790777
Maine,347825
Maryland,1464188
Massachusetts,1080728
Michigan,1472618
Minnesota,892977
Mississippi,317620
Missouri,886645
Montana,248772
Nebraska,263008
Nevada,336647
New Hampshire,273551
New Jersey,1488451
New Mexico,458768
New York,3476262
North Carolina,1374767
North Dakota,99458
Northern Mariana Islands,≤100
Ohio,1417308
Oklahoma,511044
Oregon,742078
Pennsylvania,1691655
Puerto Rico,1161
Rhode Island,143575
South Carolina,733548
South Dakota,125893
Tennessee,827803
Texas,3127252
Unknown,5478
Utah,322103
Vermont,148151
Virgin Islands (U.S.),285
Virginia,1362417
Washington,1266370
"Washington, District of Columbia",323488
West Virginia,242536
Wisconsin,3532151
Wyoming,98298
